LRp0m1_F1_OGLE5_264901  267.631833  -29.873778  13.520  13.112   122.69    1.75  -0.71
LRp0m1_F1_OGLE5_264981  267.622417  -29.868500  13.348  12.988    60.31    1.09  -0.59
LRp0m1_F1_OGLE5_265031  267.624667  -29.864139  13.483  13.011  -212.79    1.66  -0.04
LRp0m1_F1_OGLE5_265384  267.609958  -29.887667  13.251  12.648    61.22    1.75  -0.08
LRp0m1_F1_OGLE5_265579  267.610667  -29.878444  13.489  13.067    21.75    1.69  -0.22
LRp0m1_F1_OGLE5_265662  267.611125  -29.874639  13.277  12.718   115.42    1.79   0.03
LRp0m1_F1_OGLE5_265741  267.602708  -29.871167  13.499  12.980  -153.83    1.65  -0.62
LRp0m1_F1_OGLE5_265794  267.610125  -29.868750  13.349  12.875  -115.82    1.55   0.43
LRp0m1_F1_OGLE5_265797  267.616083  -29.868722  13.615  13.143   -64.52    1.36  -0.11
LRp0m1_F1_OGLE5_278350  267.619500  -29.720139  13.243  12.599   -23.75    1.55   0.32
LRp0m1_F1_OGLE5_278477  267.610417  -29.712944  13.440  12.904   316.32    1.56  -0.43
LRp0m1_F1_OGLE5_278629  267.606917  -29.764944  13.345  12.781    41.41    1.52  -0.01
LRp0m1_F1_OGLE5_279469  267.653333  -29.726667  13.406  12.842   -39.09    2.14   0.60
LRp0m1_F1_OGLE5_286435  267.650000  -29.694944  13.564  12.934   -76.22    1.66   0.27
LRp0m1_F1_OGLE5_373864  267.718042  -29.974806  13.624  13.224   149.27    1.21  -0.69
LRp0m1_F1_OGLE5_374090  267.721167  -29.962833  13.464  12.863    15.13    1.82  -0.03
LRp0m1_F1_OGLE5_379390  267.678417  -29.943917  12.936  12.348   -31.98    1.64   0.29
LRp0m1_F1_OGLE5_379514  267.716000  -29.932472  13.270  12.713   -68.48    1.51   0.11
LRp0m1_F1_OGLE5_379538  267.695000  -29.930167  13.158  12.620  -108.23    1.87   0.04
LRp0m1_F1_OGLE5_379771  267.688708  -29.913500  13.535  13.010   -54.44    1.66  -0.07
LRp0m1_F1_OGLE5_379921  267.688542  -29.903028  13.216  12.674  -277.96    1.36   0.04
LRp0m1_F1_OGLE5_379941  267.695042  -29.901778  13.257  12.713   111.44    1.90   0.03
LRp0m1_F1_OGLE5_380091  267.666958  -29.891028  13.100  12.564    -0.02    1.64  -0.02
LRp0m1_F1_OGLE5_380126  267.703292  -29.888944  13.497  13.071   239.40    1.69  -0.79
LRp0m1_F1_OGLE5_380355  267.683958  -29.937306  13.520  12.971    68.41    1.53  -0.65
LRp0m1_F1_OGLE5_380505  267.687875  -29.930111  13.317  12.685   -56.67    1.09  -0.34
LRp0m1_F1_OGLE5_381212  267.717458  -29.895278  13.559  13.049    12.40    1.72  -0.33
LRp0m1_F1_OGLE5_381334  267.672792  -29.889278  13.502  13.066   118.81    1.19  -0.53
LRp0m1_F1_OGLE5_386658  267.707500  -29.882694  13.182  12.485  -187.63    1.68  -0.34
LRp0m1_F1_OGLE5_386754  267.717167  -29.874889  12.996  12.294   171.12    1.48   0.10
LRp0m1_F1_OGLE5_386832  267.696333  -29.869417  13.190  12.480   -54.29    1.51   0.22
LRp0m1_F1_OGLE5_386861  267.676417  -29.866944  13.237  12.624   102.92    1.30  -0.38
LRp0m1_F1_OGLE5_386928  267.718042  -29.862250  13.359  12.903    84.71    1.52  -0.60
LRp0m1_F1_OGLE5_387204  267.715042  -29.832833  13.289  12.491  -110.50    1.79  -0.21
LRp0m1_F1_OGLE5_387226  267.667792  -29.830806  13.110  12.596    52.22    1.19  -0.59
LRp0m1_F1_OGLE5_387241  267.686250  -29.829472  13.015  12.488   121.70    1.75   0.00
LRp0m1_F1_OGLE5_387390  267.665500  -29.882806  13.574  13.035   -54.10    1.49   0.22
LRp0m1_F1_OGLE5_387887  267.700458  -29.858417  13.031  12.230   101.38    1.43  -0.10
LRp0m1_F1_OGLE5_387965  267.689583  -29.854750  13.300  12.712  -144.50    1.27  -0.09
LRp0m1_F1_OGLE5_388226  267.711167  -29.842417  13.364  12.741   223.57    1.56   0.01
LRp0m1_F1_OGLE5_388343  267.670333  -29.836833  13.201  12.662   139.63    1.47   0.11
LRp0m1_F1_OGLE5_388417  267.694750  -29.832972  13.388  12.919   -51.39    1.49  -0.55
LRp0m1_F1_OGLE5_393706  267.709458  -29.821639  13.409  13.018   144.51    1.42  -0.98
LRp0m1_F1_OGLE5_393845  267.721792  -29.807806  12.782  12.052    17.63    1.35   0.25
LRp0m1_F1_OGLE5_394459  267.663667  -29.819556  13.313  12.734     8.13    1.39  -0.02
LRp0m1_F1_OGLE5_39478   267.521000  -29.959417  12.810  12.132    24.94    1.60   0.03
LRp0m1_F1_OGLE5_394993  267.690000  -29.793222  13.549  13.094    44.49    1.82  -0.22
LRp0m1_F1_OGLE5_400673  267.698875  -29.745306  13.414  12.938    11.78    1.39  -0.74
LRp0m1_F1_OGLE5_400781  267.659708  -29.735056  13.451  12.903  -108.82    1.51   0.01
LRp0m1_F1_OGLE5_400983  267.682750  -29.720861  13.235  12.624   110.12    1.67   0.21
LRp0m1_F1_OGLE5_401477  267.676750  -29.755306  13.360  12.886  -244.16    1.64  -0.46
LRp0m1_F1_OGLE5_45519   267.486333  -29.890361  13.270  12.680    69.35    1.70   0.29
LRp0m1_F1_OGLE5_50166   267.495250  -29.884194  13.375  12.842   -84.80    1.37   0.02
LRp0m1_F1_OGLE5_50374   267.518708  -29.862111  12.864  12.365  -127.44    1.54  -1.03
LRp0m1_F1_OGLE5_50988   267.502583  -29.873889  13.338  12.802  -189.37    1.42  -0.22
LRp0m1_F1_OGLE5_51132   267.485292  -29.867778  13.189  12.600   223.09    1.78   0.36
LRp0m1_F1_OGLE5_51727   267.506792  -29.839278  13.134  12.542  -104.30    1.73   0.15
LRp0m1_F1_OGLE5_51940   267.517542  -29.829861  13.411  12.895   -17.19    1.53  -0.37
LRp0m1_F1_OGLE5_146414  267.557375  -29.891250  12.801  12.224   -12.04    1.78  -0.65
LRp0m1_F1_OGLE5_251749  267.596458  -29.982917  12.962  12.400    57.72    1.52  -0.12
LRp0m1_F1_OGLE5_271660  267.606625  -29.803028  12.757  12.086   138.91    2.68  -0.25
LRp0m1_F1_OGLE5_277820  267.625667  -29.760917  13.314  12.754   -97.56    1.21  -0.63
LRp0m1_F1_OGLE5_379721  267.704417  -29.917028  13.083  12.470  -238.75    1.27   0.18
LRp0m1_F1_OGLE5_379864  267.687250  -29.906167  13.067  12.416   148.11    2.12   0.02
LRp0m1_F2_OGLE5_135119  267.559125  -30.056667  13.153  12.664     3.39    1.07  -0.31
LRp0m1_F2_OGLE5_141353  267.533792  -29.970056  13.160  12.733    17.45    1.32  -0.36
LRp0m1_F2_OGLE5_146023  267.556125  -29.929667  13.019  12.428  -136.46    1.21  -0.10
LRp0m1_F2_OGLE5_146058  267.583625  -29.925944  13.310  12.787   -61.59    0.93   0.15
LRp0m1_F2_OGLE5_146162  267.542000  -29.915667  13.110  12.512   158.62    1.10  -0.60
LRp0m1_F2_OGLE5_146172  267.572250  -29.914500  13.343  12.908   182.46    0.78  -0.78
LRp0m1_F2_OGLE5_146323  267.585500  -29.900472  13.093  12.483   205.12    2.28  -0.20
LRp0m1_F2_OGLE5_146382  267.574708  -29.894556  13.343  12.773   -90.05    1.15   0.35
LRp0m1_F2_OGLE5_146429  267.550125  -29.889250  12.994  12.465  -188.09    0.95   0.42
LRp0m1_F2_OGLE5_146554  267.567167  -29.943694  13.245  12.628    71.03    1.34   0.40
LRp0m1_F2_OGLE5_146846  267.581042  -29.930472  13.611  13.073   171.97    1.17   0.29
LRp0m1_F2_OGLE5_146948  267.546583  -29.924833  13.222  12.630     3.51    1.14   0.47
LRp0m1_F2_OGLE5_147182  267.557542  -29.913056  13.184  12.579    44.70    1.10   0.38
LRp0m1_F2_OGLE5_147514  267.554417  -29.896194  13.447  12.863   -12.85    0.96   0.53
LRp0m1_F2_OGLE5_147581  267.588208  -29.892722  13.695  13.167   -29.64    1.47  -0.89
LRp0m1_F2_OGLE5_152536  267.526417  -29.874306  13.212  12.722     8.62    0.95  -0.23
LRp0m1_F2_OGLE5_152697  267.531667  -29.856861  12.827  12.301   242.86    0.92  -0.90
LRp0m1_F2_OGLE5_152819  267.586958  -29.841444  13.343  12.871   -77.44    9.92  -0.14
LRp0m1_F2_OGLE5_153147  267.584292  -29.880389  13.491  12.935  -152.45    0.84  -0.12
LRp0m1_F2_OGLE5_153629  267.525625  -29.857028  13.252  12.753    33.50    1.01  -0.31
LRp0m1_F2_OGLE5_160592  267.540667  -29.781111  13.487  13.059    63.96    1.15  -0.48
LRp0m1_F2_OGLE5_165693  267.542542  -29.764250  13.105  12.645    22.05    1.07  -0.71
LRp0m1_F2_OGLE5_166801  267.583625  -29.751333  13.561  12.997   219.88    1.36   0.80
LRp0m1_F2_OGLE5_166997  267.539667  -29.743333  13.181  12.822   301.63    0.98  -0.05
LRp0m1_F2_OGLE5_167185  267.552458  -29.734389  13.486  13.110    64.79    1.98  -0.40
LRp0m1_F2_OGLE5_167367  267.567500  -29.725167  13.600  13.028   204.18    1.45   0.39
LRp0m1_F2_OGLE5_238180  267.641167  -30.074556  13.275  12.659    70.46    0.90  -0.34
LRp0m1_F2_OGLE5_244852  267.648667  -30.053083  13.409  12.810  -232.47    0.97   0.47
LRp0m1_F2_OGLE5_245874  267.628167  -30.036139  13.654  12.952    42.72    1.27   0.46
LRp0m1_F2_OGLE5_251544  267.592875  -29.999833  12.973  12.398  -159.80    0.87  -0.71
LRp0m1_F2_OGLE5_251625  267.613292  -29.993472  13.154  12.585  -201.42    1.08   0.17
LRp0m1_F2_OGLE5_252428  267.651708  -29.994944  13.840  13.370   -29.59    0.77  -0.52
LRp0m1_F2_OGLE5_258496  267.616792  -29.936611  12.949  12.287    -4.85    0.85   0.14
LRp0m1_F2_OGLE5_258576  267.635917  -29.927417  13.148  12.617    39.51    0.90  -0.12
LRp0m1_F2_OGLE5_258597  267.595208  -29.924667  13.177  12.604  -234.15    0.93   0.51
LRp0m1_F2_OGLE5_258651  267.657417  -29.919944  13.260  12.640  -285.85    0.97   0.57
LRp0m1_F2_OGLE5_258921  267.635000  -29.889556  13.301  12.670    19.47    2.28  -0.66
LRp0m1_F2_OGLE5_259396  267.646625  -29.924306  13.394  12.941   168.34    0.83  -0.13
LRp0m1_F2_OGLE5_259474  267.602833  -29.920139  13.474  12.914     4.70    0.90  -0.11
LRp0m1_F2_OGLE5_259828  267.602708  -29.902722  13.248  12.695  -139.03    0.95   0.34
LRp0m1_F2_OGLE5_264740  267.625333  -29.885917  13.225  12.836   125.70    1.20  -0.41
LRp0m1_F2_OGLE5_264757  267.636458  -29.884306  13.184  12.776   -29.07    0.75  -0.54
LRp0m1_F2_OGLE5_264828  267.652333  -29.878889  13.330  12.796  -181.77    0.99   0.22
LRp0m1_F2_OGLE5_264930  267.635583  -29.871556  13.179  12.704  -216.93    0.92   0.42
LRp0m1_F2_OGLE5_264932  267.608875  -29.871306  13.156  12.688   -13.72    1.18   0.23
LRp0m1_F2_OGLE5_265036  267.609917  -29.863611  13.427  13.031   128.39    1.32  -0.43
LRp0m1_F2_OGLE5_265044  267.628208  -29.862750  13.285  12.837    41.80    0.95  -0.04
LRp0m1_F2_OGLE5_265238  267.658083  -29.842833  12.791  12.210    72.07    1.07  -0.76
LRp0m1_F2_OGLE5_265401  267.639250  -29.886833  13.460  12.894  -145.07    1.01   0.27
LRp0m1_F2_OGLE5_265661  267.638625  -29.874861  13.440  12.907   144.67    1.10   0.09
LRp0m1_F2_OGLE5_265867  267.605833  -29.865278  13.640  13.074    81.23    0.97  -0.46
LRp0m1_F2_OGLE5_266017  267.646083  -29.857222  13.579  13.133   -40.41    0.94  -0.25
LRp0m1_F2_OGLE5_271636  267.607792  -29.805778  12.909  12.315  -114.46    0.84  -0.36
LRp0m1_F2_OGLE5_272891  267.624375  -29.781639  13.144  12.566   130.45    2.12  -0.39
LRp0m1_F2_OGLE5_277809  267.638833  -29.761611  13.135  12.484  -123.48    1.12  -0.10
LRp0m1_F2_OGLE5_277978  267.612125  -29.747250  13.422  12.821  -147.16    0.86   0.30
LRp0m1_F2_OGLE5_277992  267.656833  -29.746167  12.998  12.538   -34.80    1.01  -0.60
LRp0m1_F2_OGLE5_278334  267.619458  -29.721472  13.336  12.740  -316.56    1.26   0.19
LRp0m1_F2_OGLE5_278470  267.638125  -29.713417  13.342  12.760    63.31    1.14  -0.06
LRp0m1_F2_OGLE5_285240  267.601292  -29.711389  13.401  12.943    46.50    0.97  -0.53
LRp0m1_F2_OGLE5_367125  267.675250  -30.017722  13.281  12.654   219.91    1.05   0.42
LRp0m1_F2_OGLE5_372781  267.670417  -29.989194  13.436  12.755   -27.67    1.48  -0.73
LRp0m1_F2_OGLE5_373001  267.718917  -29.969361  13.099  12.509  -117.77    0.88  -0.33
LRp0m1_F2_OGLE5_373791  267.671750  -29.978583  13.381  12.829   284.60    1.05   0.17
LRp0m1_F2_OGLE5_379365  267.664708  -29.946028  13.296  12.692   -50.77    0.82   0.50
LRp0m1_F2_OGLE5_379690  267.685417  -29.919056  13.293  12.628    74.46    0.84   0.27
LRp0m1_F2_OGLE5_379881  267.694750  -29.905278  13.532  12.990   111.09    0.96   0.09
LRp0m1_F2_OGLE5_379953  267.693958  -29.901083  13.647  13.241    58.53    0.84  -0.95
LRp0m1_F2_OGLE5_379958  267.720583  -29.900972  13.032  12.432   183.35    0.69  -0.69
LRp0m1_F2_OGLE5_380070  267.674458  -29.893056  13.543  13.018  -170.21    0.87  -0.31
LRp0m1_F2_OGLE5_380072  267.721708  -29.892972  13.069  12.451  -242.05    0.87   0.28
LRp0m1_F2_OGLE5_380115  267.684375  -29.889917  13.299  12.767  -224.15    0.93   0.06
LRp0m1_F2_OGLE5_380275  267.684458  -29.941417  13.311  12.584   206.02    0.80  -0.41
LRp0m1_F2_OGLE5_380354  267.667958  -29.937333  13.601  13.058   -70.29    0.63  -0.13
LRp0m1_F2_OGLE5_380665  267.677000  -29.922389  13.857  13.305  -173.19    0.80  -0.26
LRp0m1_F2_OGLE5_380816  267.683708  -29.914472  13.910  13.548    37.00    1.01  -0.59
LRp0m1_F2_OGLE5_380920  267.688500  -29.909667  13.568  13.141    95.94    0.88  -0.42
LRp0m1_F2_OGLE5_381038  267.669417  -29.903417  13.658  13.163    48.35    0.87  -0.62
LRp0m1_F2_OGLE5_386633  267.684167  -29.884444  13.329  12.745   141.99    0.86  -0.32
LRp0m1_F2_OGLE5_386890  267.705333  -29.864833  13.258  12.633    42.08    0.95  -0.21
LRp0m1_F2_OGLE5_387074  267.717208  -29.845278  13.092  12.473    17.99    0.98  -0.10
LRp0m1_F2_OGLE5_387397  267.704167  -29.882611  13.541  12.976    65.03    1.10   0.03
LRp0m1_F2_OGLE5_387511  267.711750  -29.875944  13.444  12.791     8.18    0.95  -0.25
LRp0m1_F2_OGLE5_387526  267.667500  -29.875167  13.460  12.988   -42.02    1.06  -0.06
